step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
77.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
78.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
79.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
80.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
81.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
82.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
83.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
84.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
85.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
86.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
87.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
88.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
89.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
90.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
91.0,0.0,0.0,0.0,,1,0.0,0.0,1.8649717183137338,13.864289200690537,1.8649717183137338,0,0.0,1.0,1.8649717183137338,13.864289200690537,1.8649717183137338,1,0.0,0.0,27.728578401381075,1.8649717183137338,13.864289200690537
92.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,13.864289200690537,0.0,0,0.0,1.0,0.0,13.864289200690537,0.0,1,0.0,0.0,27.728578401381075,0.0,13.864289200690537
93.0,0.0,0.0,0.0,,1,0.0,0.0,2.0,15.864289200690537,2.0,0,0.0,1.0,2.0,15.864289200690537,2.0,1,0.0,0.0,31.728578401381075,2.0,15.864289200690537
94.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,15.864289200690537,0.0,0,0.0,1.0,0.0,15.864289200690537,0.0,1,0.0,0.0,31.728578401381075,0.0,15.864289200690537
95.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,15.864289200690537,0.0,0,0.0,1.0,0.0,15.864289200690537,0.0,1,0.0,0.0,31.728578401381075,0.0,15.864289200690537
96.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,15.864289200690537,0.0,0,0.0,1.0,0.0,15.864289200690537,0.0,1,0.0,0.0,31.728578401381075,0.0,15.864289200690537
97.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,15.864289200690537,0.0,0,0.0,1.0,0.0,15.864289200690537,0.0,1,0.0,0.0,31.728578401381075,0.0,15.864289200690537
98.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,15.864289200690537,0.0,0,0.0,1.0,0.0,15.864289200690537,0.0,1,0.0,0.0,31.728578401381075,0.0,15.864289200690537
99.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,15.864289200690537,0.0,0,0.0,1.0,0.0,15.864289200690537,0.0,1,0.0,0.0,31.728578401381075,0.0,15.864289200690537
100.0,0.0,0.0,0.0,,1,0.0,0.0,2.0,17.864289200690536,2.0,0,0.0,1.0,2.0,17.864289200690536,2.0,1,0.0,0.0,35.72857840138107,2.0,17.864289200690536
101.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,17.864289200690536,0.0,0,0.0,1.0,0.0,17.864289200690536,0.0,1,0.0,0.0,35.72857840138107,0.0,17.864289200690536
102.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,17.864289200690536,0.0,0,0.0,1.0,0.0,17.864289200690536,0.0,1,0.0,0.0,35.72857840138107,0.0,17.864289200690536
