step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
83,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
84,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
85,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
86,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
87,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
88,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
89,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
90,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
91,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
92,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
93,0.0,0.0,0.0,,0,0.0,-0.9745439812009808,-3.544869569996358,-0.9745439812009808,1,0.0,0.0,0.0,0.0,1,0.0,9.544869569996358,-3.544869569996358,-0.4872719906004904,-1.772434784998179
94,0.0,0.0,0.0,,0,0.0,0.0,-3.544869569996358,0.0,1,0.0,0.0,0.0,0.0,1,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
95,0.0,0.0,0.0,,0,0.0,0.0,-3.544869569996358,0.0,1,0.0,0.0,0.0,0.0,1,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
96,0.0,0.0,0.0,,0,0.0,0.0,-3.544869569996358,0.0,1,0.0,0.0,0.0,0.0,1,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
